n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
32,3,2,relu,8,3,2,relu,0.25,-0.014251331,-0.41762137,0.488089988,0.277916169,0.108283333,0.113206021,0.111570388,0.111019914,0.002507086,0.114232874,0.963249981,0.963249981,0.966499984,0.964333315,0.00187639,0.961928625
32,3,2,relu,8,3,2,relu,0.5,0.30578,-0.292836,0.662070246,0.340190096,0.131792724,0.116858192,0.140476301,0.129709072,0.011946128,0.145018651,0.959249973,0.965250015,0.959249973,0.961249987,0.003464126,0.956810531
32,3,2,relu,8,3,2,tanh,0.25,0.4296206,0.07402235,0.723055774,0.542643903,0.147979617,0.131674752,0.125891864,0.135182078,0.01145396,0.149860919,0.953000009,0.959749997,0.963750005,0.958833337,0.005433305,0.951870277
32,3,2,relu,8,3,2,tanh,0.5,0.3737964,-0.23004068,0.696210515,0.373352437,0.148963928,0.153356075,0.159992591,0.154104198,0.005552262,0.161219709,0.957000017,0.953750014,0.953999996,0.954916676,0.001808551,0.952598925
32,3,2,relu,8,3,4,relu,0.25,0.056471054,-1.7645146,0.527536445,0,0.216855153,0.188669205,0.206561789,0.204028716,0.014262688,0.222307085,0.9375,0.944750011,0.948000014,0.943416675,0.005375492,0.936527705
32,3,2,relu,8,3,4,relu,0.5,1.3292637,-1.2965853,0.9720571,0.028942465,0.283870876,0.22687003,0.220123306,0.243621404,0.035019917,0.288501233,0.932749987,0.936500013,0.94749999,0.938916663,0.007666211,0.929092018
32,3,2,relu,8,3,4,tanh,0.25,1.6833044,0.34873837,0.995997512,0.690113485,0.209457234,0.193092674,0.203561217,0.202037042,0.008288066,0.212658626,0.944000006,0.949249983,0.950999975,0.948083321,0.003642899,0.943414758
32,3,2,relu,8,3,4,tanh,0.5,1.6158481,-0.97998554,0.993116711,0.080458187,0.238234326,0.233178005,0.285312176,0.252241502,0.028751412,0.289087919,0.938750029,0.945500016,0.922500014,0.935583353,0.011822474,0.920432242
32,3,2,tanh,8,3,2,relu,0.25,-0.41466004,-0.07637365,0.277225024,0.457962611,0.123799302,0.123992018,0.130961105,0.126250808,0.004080374,0.131480019,0.961000025,0.960500002,0.957750022,0.959750016,0.001749997,0.957507305
32,3,2,tanh,8,3,2,relu,0.5,-0.35599667,0.21448013,0.305502224,0.620137962,0.144933179,0.132716089,0.142944574,0.140197947,0.006555325,0.148598935,0.956749976,0.961499989,0.956749976,0.958333314,0.002742421,0.954818759
32,3,2,tanh,8,3,2,tanh,0.25,-0.01897351,0.43887848,0.485455906,0.733780313,0.154519141,0.139465883,0.174577758,0.156187594,0.017615299,0.178762507,0.953999996,0.960749984,0.944500029,0.953083336,0.008163667,0.942621176
32,3,2,tanh,8,3,2,tanh,0.5,-0.28383932,0.28071344,0.341871544,0.655303409,0.180305734,0.157016858,0.1893273,0.175549964,0.016671958,0.196915938,0.947749972,0.956749976,0.946500003,0.950333317,0.005592025,0.943166849
32,3,2,tanh,8,3,4,relu,0.25,-1.7084465,-0.35723466,0.002075235,0.307384788,0.17244938,0.21246101,0.224275619,0.203062003,0.027161476,0.237870835,0.954249978,0.939499974,0.943750024,0.945833325,0.007592481,0.93610317
32,3,2,tanh,8,3,4,relu,0.5,-1.6517899,0.85990727,0.004180502,0.89074925,0.271964371,0.303071141,0.277076632,0.284037381,0.016680732,0.305414599,0.928250015,0.930999994,0.937749982,0.93233333,0.004888321,0.926068695
32,3,2,tanh,8,3,4,tanh,0.25,0.06051744,1.752028,0.529788938,1,0.240686476,0.236214742,0.221583843,0.232828354,0.009991415,0.245632867,0.935249984,0.936749995,0.945500016,0.939166665,0.005535884,0.932072144
32,3,2,tanh,8,3,4,tanh,0.5,-1.2659012,1.2613769,0.033029153,0.967609626,0.285499305,0.286645442,0.253205419,0.275116722,0.018984396,0.299446205,0.927749991,0.935000002,0.932749987,0.931833327,0.003710912,0.927077602
32,3,4,relu,8,3,2,relu,0.25,-0.30029193,-0.4204545,0.333437622,0.276567009,0.184914425,0.173517495,0.186965168,0.181799029,0.007244946,0.191083801,0.945500016,0.952000022,0.947250009,0.948250016,0.00336341,0.943939632
32,3,4,relu,8,3,2,relu,0.5,0.08505966,-0.42645305,0.543428216,0.273720747,0.233219296,0.248884246,0.258454412,0.246852651,0.012739635,0.263179151,0.9375,0.933499992,0.930750012,0.933916668,0.00339423,0.929566787
32,3,4,relu,8,3,2,tanh,0.25,0.3190538,0.36388868,0.668846761,0.697660219,0.205220073,0.205653116,0.202742174,0.204538454,0.001570621,0.206551286,0.942749977,0.944750011,0.944500029,0.944000006,0.001089748,0.942603437
32,3,4,relu,8,3,2,tanh,0.5,0.47982627,-0.014620798,0.746193643,0.492720381,0.237344727,0.220588669,0.207325697,0.221753031,0.015043349,0.241031858,0.936500013,0.935000002,0.944249988,0.938583334,0.004964447,0.93222114
