n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
40,3,2,tanh,8,3,2,relu,0.25,-0.005945832,0.0198952,0.5,0.5,0.131016344,0.105854288,0.113934092,0.116934908,0.012846631,0.133398528,0.958999991,0.966499984,0.96450001,0.963333329,0.003883727,0.958356133
42,5,4,tanh,8,3,2,relu,0.4068908,0.48295576,1.273449682,0.749354203,0.957585047,0.154476568,0.140466958,0.147868007,0.147603845,0.00700854,0.15658565,0.960749984,0.961499989,0.957499981,0.959916651,0.002126229,0.95719178
57,5,4,tanh,9,3,4,tanh,0.37237802,0.48295576,-1.273449682,0.749354203,0.037699784,0.408353269,0.510370791,0.418591559,0.445771873,0.056178028,0.517766912,0.916999996,0.884249985,0.920249999,0.90716666,0.019912838,0.881647331
58,7,4,relu,9,7,4,tanh,0.46661282,-0.517300399,-0.749439012,0.240921379,0.145109266,0.297794849,0.2460448,0.296532124,0.280123924,0.02952014,0.317955506,0.944500029,0.956499994,0.944750011,0.948583345,0.006857159,0.939795542
78,4,2,tanh,10,3,2,tanh,0.49994102,0.412134103,-0.101581933,0.71737037,0.433684746,0.119806051,0.120979667,0.121451259,0.120745659,0.000847199,0.121831388,0.965250015,0.964999974,0.95875001,0.963,0.003682722,0.958280401
83,4,2,tanh,10,3,2,relu,0.49937585,0.412134103,0.101581933,0.71737037,0.544706773,0.092403792,0.091014601,0.08561001,0.089676134,0.003589218,0.094275903,0.972000003,0.971499979,0.973249972,0.972249985,0.00090138,0.971094819
83,7,2,relu,9,7,2,tanh,0.25000006,-0.05116401,-0.421373531,0.475203664,0.272046829,0.067899868,0.058133028,0.0586797,0.061570865,0.005487888,0.068603877,0.978500009,0.98150003,0.983250022,0.981083353,0.002402264,0.978004729
89,7,4,relu,9,7,4,relu,0.39897195,-0.517300399,0.749439012,0.240921379,0.84205521,0.275340557,0.278765619,0.287617207,0.280574461,0.006335058,0.288693165,0.946749985,0.954249978,0.952750027,0.951249997,0.003968632,0.94616399
100,7,2,relu,10,7,2,relu,0.25000012,-0.05116401,0.421373531,0.475203664,0.709502667,0.061574366,0.055888787,0.055514716,0.057659289,0.003395711,0.062011068,0.980250001,0.98299998,0.983250022,0.982166668,0.001664584,0.980033418
112,4,4,relu,10,3,4,relu,0.5,-1.205950916,0.632931866,0.049415753,0.800322088,0.679165363,1.10063529,0.718408048,0.832736234,0.232835619,1.131127086,0.884000003,0.727750003,0.872749984,0.828166664,0.087145109,0.716485713
134,3,2,relu,11,3,2,tanh,0.48935306,-0.424468383,5.20E-17,0.282423804,0.489089918,0.106871225,0.099989697,0.097301841,0.101387588,0.004935469,0.107712645,0.967750013,0.967750013,0.970000029,0.968500018,0.001299047,0.966835222
294,5,4,relu,16,3,4,tanh,0.5,-1.205950916,-0.632931866,0.049415753,0.184732988,0.231351703,0.232950017,0.258791566,0.241031095,0.015401766,0.260769252,0.944750011,0.948249996,0.941999972,0.944999993,0.003132502,0.94098553
314,6,4,relu,14,3,2,tanh,0.25000554,-0.109765081,-0.903996771,0.443224851,0.102020829,0.070192605,0.076680049,0.081574962,0.076149205,0.005709716,0.083466501,0.980750024,0.976999998,0.974749982,0.977500002,0.00303111,0.973615478
362,4,2,tanh,37,3,4,tanh,0.41641867,1.322378684,-0.325937072,0.966153258,0.317239198,0.08414156,0.073941104,0.06821461,0.075432425,0.008067525,0.085771374,0.973999977,0.97724998,0.980000019,0.977083325,0.003003491,0.973234197
400,7,2,relu,19,5,4,relu,0.49999762,-0.806328431,0.423193806,0.135473366,0.710359352,0.060027938,0.044353701,0.068980679,0.057787439,0.012465428,0.073762528,0.981249988,0.986000001,0.975750029,0.981000006,0.005129557,0.974426215
420,7,2,relu,22,5,4,tanh,0.49999171,-0.806328431,-0.423193806,0.135473366,0.271216921,0.05796098,0.055023279,0.049960308,0.054314855,0.004047108,0.059501433,0.982249975,0.984250009,0.984749973,0.983749986,0.001322881,0.982054645
444,6,2,tanh,41,4,4,relu,0.29433182,0.884174899,0.21792954,0.889583313,0.607284233,0.061555456,0.053909436,0.056750756,0.057405216,0.003864796,0.062358151,0.980499983,0.981999993,0.982749999,0.981749992,0.001145652,0.98028178
446,7,4,tanh,33,7,4,tanh,0.49999297,0.681621085,-0.603863588,0.827852455,0.195580855,0.07604678,0.072901584,0.067026027,0.071991464,0.004578727,0.077859338,0.977500021,0.976249993,0.981000006,0.978250007,0.002462218,0.975094548
462,6,2,tanh,41,4,4,tanh,0.25371832,0.884174899,-0.21792954,0.889583313,0.371853002,0.058960401,0.062132064,0.055199936,0.058764134,0.003470229,0.063211411,0.980000019,0.979250014,0.981000006,0.980083346,0.000877967,0.978958186
475,4,2,tanh,48,3,4,relu,0.49908632,1.322378684,0.325937072,0.966153258,0.663024282,0.084329486,0.063746199,0.067521885,0.071865857,0.010957668,0.085908673,0.973749995,0.978999972,0.97724998,0.976666649,0.002673158,0.97324086
489,7,4,tanh,32,7,4,relu,0.4999836,0.681621085,0.603863588,0.827852455,0.788957905,0.080181539,0.078733228,0.082492687,0.080469151,0.00189616,0.082899178,0.978250027,0.976000011,0.976499975,0.976916671,0.001181469,0.975402557
540,6,2,relu,17,3,2,relu,0.4999978,-0.375848088,0.197260293,0.305452708,0.5963198,0.064492591,0.053806331,0.068270221,0.062189714,0.007501897,0.071803782,0.980250001,0.981999993,0.979250014,0.980500003,0.001391931,0.978716171
650,6,2,relu,22,3,2,tanh,0.49999717,-0.375848088,-0.197260293,0.305452708,0.382647605,0.060289413,0.049859941,0.053558137,0.054569164,0.005287731,0.061345664,0.980499983,0.983250022,0.98150003,0.981750011,0.001391958,0.979966146
653,6,4,tanh,27,4,2,tanh,0.49954432,0.322916095,-0.851459765,0.674485305,0.115478873,0.057397746,0.05690255,0.058545496,0.057615264,0.000842795,0.058695349,0.981750011,0.980000019,0.980750024,0.980833352,0.000877967,0.979708192
666,6,4,relu,24,3,2,relu,0.25000212,-0.109765081,0.903996771,0.443224851,0.887896797,0.055806458,0.070892707,0.050352305,0.059017157,0.010639946,0.072652797,0.979499996,0.97874999,0.983250022,0.980500003,0.00241093,0.977410272
1006,6,4,relu,35,4,4,tanh,0.25001267,-0.7736784,-1.12086667,0.145489471,0.058409933,0.06960813,0.077220008,0.059696525,0.068841554,0.008786856,0.080102363,0.979250014,0.977750003,0.984000027,0.980333348,0.003262807,0.976151893
1142,6,4,tanh,55,3,2,relu,0.49995962,0.322916095,0.851459765,0.674485305,0.873520876,0.050808795,0.041548822,0.050909106,0.047755574,0.005375439,0.054644476,0.984250009,0.986500025,0.984000027,0.984916687,0.001376896,0.983152124
1226,3,4,relu,57,3,2,tanh,0.2500763,-0.164165487,-1.352024427,0.413861443,0.029644328,0.059328094,0.056657139,0.071646236,0.062543823,0.007995245,0.072790142,0.979250014,0.980750024,0.977999985,0.979333341,0.001376912,0.977568758
1310,6,4,relu,55,4,4,relu,0.25000057,-0.7736784,1.12086667,0.145489471,0.934931355,0.071282454,0.057058878,0.082629599,0.070323644,0.012812296,0.086743261,0.978250027,0.982749999,0.975750029,0.978916685,0.003547283,0.974370658
1320,6,2,tanh,79,4,2,tanh,0.4999987,0.317719147,-0.281474603,0.671906776,0.339324209,0.068568692,0.087927178,0.067013785,0.074503218,0.011651457,0.089435161,0.97874999,0.975499988,0.980750024,0.978333334,0.002649702,0.974937604
1493,7,2,tanh,95,7,2,relu,0.25006342,0.150518563,0.396884833,0.585197696,0.69786385,0.370054036,0.195224762,0.195375875,0.253551558,0.100894134,0.382852594,0.953249991,0.97299999,0.967999995,0.964749992,0.010268277,0.951590666
1601,6,2,tanh,134,4,2,relu,0.49999896,0.317719147,0.281474603,0.671906776,0.640429225,0.084009022,0.115139656,0.110423222,0.103190633,0.016778315,0.124692909,0.980250001,0.977999985,0.97299999,0.977083325,0.003710911,0.972327601
1601,6,4,tanh,250,3,4,tanh,0.4994989,1.019437664,-0.903142961,0.920783601,0.102230007,0.074366651,0.063888192,0.07111863,0.069791158,0.005363876,0.076665242,0.976000011,0.978999972,0.977500021,0.977500002,0.001499981,0.975577699
1613,7,2,relu,182,5,4,tanh,0.25,-0.910636336,1.12E-16,0.106684451,0.489089918,0.037602786,0.030897312,0.035144359,0.034548152,0.003392262,0.038895511,0.987500012,0.988749981,0.988499999,0.988249997,0.000661424,0.987402349
1679,4,4,relu,154,3,2,relu,0.25009593,-0.164165487,1.352024427,0.413861443,0.966475459,0.049234267,0.040906165,0.046458505,0.045532979,0.004240492,0.050967388,0.986999989,0.986750007,0.985499978,0.986416658,0.000803647,0.985386742
1702,7,2,tanh,163,7,2,tanh,0.25030014,0.150518563,-0.396884833,0.585197696,0.283333038,0.148445651,0.1367587,0.147103742,0.144102698,0.006395382,0.152298709,0.969749987,0.974250019,0.966750026,0.97025001,0.003774916,0.965412261
1770,5,2,relu,233,3,4,tanh,0.25,-1.36195461,1.67E-16,0.031082287,0.489089918,0.055083103,0.041747596,0.044479109,0.04710327,0.007044402,0.056131034,0.984000027,0.986249983,0.986999989,0.98575,0.001561227,0.983749207
1831,6,4,tanh,350,4,4,relu,0.4320826,1.019437664,0.903142961,0.920783601,0.887672911,0.070977941,0.088044457,0.06657777,0.075200056,0.011339063,0.08973165,0.983500004,0.971750021,0.984250009,0.979833345,0.007010401,0.970849155
1984,7,2,relu,392,6,2,tanh,0.301762,-0.241125525,-0.349330631,0.373166811,0.305869304,0.059853245,0.147926703,0.106622048,0.104800665,0.04406497,0.161272197,0.98575002,0.973500013,0.978500009,0.979250014,0.006159346,0.971356494
1989,7,2,relu,389,5,2,relu,0.46388227,-0.241125525,0.349330631,0.373166811,0.674686534,0.079828963,0.065106109,0.068442412,0.071125828,0.00771953,0.081018804,0.984000027,0.986999989,0.98299998,0.984666665,0.002081663,0.981998907
