n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
32,5,4,tanh,8,5,2,relu,0.5,0.43780485,0.92213917,0.729456091,0.896273923,0.138901964,0.144466341,0.131766498,0.138378268,0.006366097,0.14653675,0.963,0.960500002,0.964999974,0.962833325,0.002254611,0.959943925
32,7,2,tanh,8,7,4,tanh,0.5,0.5345588,-0.35270777,0.771919415,0.301730859,0.145015061,0.139510781,0.137995422,0.140840421,0.003693886,0.145574326,0.957249999,0.958249986,0.958999991,0.958166659,0.000877967,0.957041499
32,7,4,tanh,8,7,2,relu,0.5,0.44213524,0.6683023,0.731436953,0.816504341,0.105785199,0.091657333,0.100286983,0.099243172,0.007121538,0.10836979,0.966750026,0.972249985,0.970749974,0.969916662,0.002843096,0.966273088
128,3,2,relu,32,3,2,tanh,0.25,-0.1116858,-0.07792106,0.44068817,0.44550325,0.080488317,0.073154621,0.078386806,0.077343248,0.003776577,0.082183126,0.9745,0.973500013,0.9745,0.974166671,0.000577343,0.973426776
128,3,2,tanh,32,3,4,tanh,0.5,1.5695382,-0.40313575,0.986721879,0.277667628,0.096135564,0.102237456,0.096521229,0.098298083,0.003417042,0.102677199,0.972249985,0.969500005,0.97025001,0.970666667,0.001421548,0.968844879
128,5,2,relu,32,3,2,tanh,0.5,-0.40090343,-0.15404472,0.291074081,0.404061021,0.071466155,0.062633283,0.070915811,0.068338416,0.004948447,0.074680107,0.977999985,0.977750003,0.980000019,0.978583336,0.001233234,0.977002882
128,5,2,tanh,32,5,4,relu,0.25,0.87062746,0.17627503,0.887262115,0.585560958,0.065927565,0.063773349,0.062152311,0.063951075,0.001893892,0.066378195,0.976499975,0.978500009,0.981999993,0.978999992,0.002783889,0.975432295
128,5,4,relu,8,5,2,tanh,0.25,-0.08355568,-0.7882426,0.456094732,0.128971151,0.089505449,0.104506411,0.093860425,0.095957428,0.007717207,0.105847427,0.972249985,0.96875,0.972500026,0.97116667,0.002096629,0.968479733
128,7,2,relu,8,3,2,relu,0.25,-0.06332119,0.22855484,0.467217697,0.613632519,0.085225031,0.076340415,0.083934285,0.081833244,0.004800508,0.087985343,0.975000024,0.977500021,0.975250006,0.975916684,0.001376895,0.974152121
128,7,2,relu,32,7,2,relu,0.25,-0.08786963,0.42741194,0.45372732,0.714133462,0.048632175,0.050405305,0.053313132,0.050783537,0.002363289,0.053812214,0.986249983,0.985249996,0.984749973,0.985416651,0.000763766,0.984437846
