n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
125,5,4,relu,10,3,4,relu,0.5,-1.121306146,0.665209947,0.0625,0.8125,0.693636835,0.620984197,0.960068345,0.758229792,0.178532077,0.987027855,0.868250012,0.875500023,0.802749991,0.848833342,0.040073646,0.797476898
174,5,4,tanh,12,3,2,tanh,0.49931076,0.34941204,-1.09603159,0.6875,0.0625,0.112233773,0.097352542,0.109419242,0.106335186,0.007905461,0.116466441,0.966000021,0.973249972,0.966499984,0.968583325,0.004049158,0.96339412
223,6,4,relu,12,3,2,relu,0.4984272,-0.361303703,1.135821989,0.3125,0.9375,0.092928126,0.089307077,0.081343159,0.087859454,0.005926599,0.095454697,0.976750016,0.971750021,0.975000024,0.97450002,0.002537221,0.971248441
229,6,4,relu,12,4,4,tanh,0.25004828,-0.650932999,-1.09603159,0.1875,0.0625,0.18718715,0.164157808,0.167684093,0.173009684,0.012403995,0.188906043,0.957750022,0.965499997,0.961499989,0.961583336,0.00387566,0.956616479
241,6,4,tanh,15,3,4,relu,0.25000557,0.639041336,1.135821989,0.8125,0.9375,0.187497154,0.17037116,0.169784382,0.175884232,0.010061364,0.188778389,0.944000006,0.958500028,0.95174998,0.951416671,0.007255755,0.942118047
257,5,4,tanh,25,3,4,tanh,0.5,1.109414483,-0.625419548,0.9375,0.1875,0.147146001,0.143119261,0.179373354,0.156546205,0.019871152,0.182012112,0.962499976,0.963249981,0.954999983,0.96024998,0.00456207,0.954403453
302,7,2,tanh,24,7,4,relu,0.49999684,0.639041336,0.375433552,0.8125,0.6875,0.072269149,0.072040848,0.066255674,0.070188557,0.003407889,0.074555943,0.978500009,0.976499975,0.979749978,0.978249987,0.001639364,0.976149058
328,5,4,relu,17,3,4,tanh,0.5,-1.121306146,-0.625419548,0.0625,0.1875,0.250884235,0.223539233,0.239324063,0.237915844,0.013726784,0.255507425,0.942250013,0.950749993,0.945749998,0.946250002,0.004271992,0.940775223
329,7,2,relu,18,7,4,relu,0.25001445,-0.650932999,0.134323761,0.1875,0.5625,0.061344929,0.055473998,0.047499284,0.054772737,0.00694941,0.063678764,0.981999993,0.98299998,0.984499991,0.983166655,0.001258305,0.981554072
332,7,2,tanh,29,7,4,relu,0.25034338,0.639041336,0.134323761,0.8125,0.5625,0.089929715,0.082563296,0.066276178,0.07958973,0.012103885,0.095101482,0.978250027,0.978500009,0.978999972,0.978583336,0.000381853,0.978093971
384,7,2,tanh,32,6,4,tanh,0.4999981,0.639041336,-0.335643153,0.8125,0.3125,0.07848306,0.073812187,0.063894376,0.072063208,0.007449941,0.081610691,0.977500021,0.976750016,0.978500009,0.977583349,0.000877967,0.976458189
385,6,4,tanh,22,4,4,tanh,0.25030974,0.639041336,-1.09603159,0.8125,0.0625,0.094485387,0.088887498,0.117570423,0.100314436,0.015203977,0.119799116,0.974250019,0.975750029,0.966250002,0.97208335,0.005107198,0.965538213
401,7,2,relu,21,7,4,tanh,0.25000137,-0.650932999,-0.094533362,0.1875,0.4375,0.055151574,0.051256649,0.046177037,0.050861754,0.004500282,0.056629097,0.982249975,0.982749999,0.985249996,0.983416657,0.001607282,0.981356842
430,4,4,relu,17,3,2,tanh,0.25000757,-0.120316306,-1.09603159,0.4375,0.0625,0.083357058,0.076855667,0.080650218,0.080287648,0.003265825,0.084472972,0.976249993,0.976750016,0.975250006,0.976083338,0.000763766,0.975104533
435,7,4,tanh,31,7,4,tanh,0.4998486,0.639041336,-0.625419548,0.8125,0.1875,0.068994567,0.075648837,0.064912789,0.069852064,0.005419147,0.076796981,0.98150003,0.978250027,0.981000006,0.980250021,0.001749997,0.97800731
446,5,2,relu,26,3,4,tanh,0.49999064,-1.121306146,-0.335643153,0.0625,0.3125,0.07313735,0.077749081,0.067979082,0.072955171,0.004887547,0.079218814,0.976750016,0.976000011,0.980000019,0.977583349,0.002126229,0.974858477
454,4,2,tanh,20,3,2,tanh,0.49999458,0.34941204,-0.094533362,0.6875,0.4375,0.080880634,0.079593793,0.066581115,0.075685181,0.007910563,0.085822974,0.974250019,0.975750029,0.978250027,0.976083358,0.00202073,0.973493689
464,7,2,relu,21,7,4,relu,0.499969,-0.650932999,0.375433552,0.1875,0.6875,0.054676816,0.053361293,0.04691875,0.051652286,0.004151798,0.056973029,0.985249996,0.982500017,0.984499991,0.984083335,0.001421548,0.982261548
471,7,2,tanh,38,7,4,tanh,0.25000298,0.639041336,-0.094533362,0.8125,0.4375,0.070125014,0.060246196,0.06174187,0.064037693,0.005324553,0.070861382,0.97874999,0.978999972,0.981249988,0.97966665,0.001376896,0.977902088
492,7,4,relu,18,6,2,tanh,0.25001517,-0.120316306,-0.625419548,0.4375,0.1875,0.046789546,0.045252305,0.049490441,0.04717743,0.002145528,0.049927035,0.98575002,0.986999989,0.98299998,0.985249996,0.002046347,0.982627497
494,5,4,tanh,21,3,2,relu,0.2500033,0.108424643,1.135821989,0.5625,0.9375,0.060900189,0.060297515,0.049806695,0.057001466,0.006238137,0.064995961,0.982749999,0.981000006,0.986249983,0.983333329,0.002673157,0.97990754
502,7,2,relu,27,7,4,tanh,0.499388,-0.650932999,-0.335643153,0.1875,0.3125,0.057090383,0.040845457,0.040689293,0.046208378,0.009424416,0.058286253,0.980750024,0.988250017,0.986249983,0.985083341,0.003883718,0.980106157
512,4,2,relu,17,3,2,relu,0.4999682,-0.361303703,0.134323761,0.3125,0.5625,0.067854345,0.06964872,0.053456824,0.063653296,0.008875865,0.075028175,0.978250027,0.977750003,0.983500004,0.979833345,0.003185247,0.975751286
517,5,2,tanh,52,3,4,relu,0.4999973,1.109414483,0.375433552,0.9375,0.6875,0.065743707,0.054596052,0.072814308,0.064384689,0.009184847,0.076155544,0.981249988,0.98150003,0.977500021,0.980083346,0.002240716,0.977211753
522,5,2,tanh,58,3,4,tanh,0.49722978,1.109414483,-0.335643153,0.9375,0.3125,0.066251628,0.067393154,0.056934282,0.063526355,0.005737363,0.070879081,0.979749978,0.976999998,0.981000006,0.979249994,0.002046339,0.976627505
526,4,2,relu,18,3,2,tanh,0.25000003,-0.120316306,-0.094533362,0.4375,0.4375,0.077626914,0.072467528,0.07122089,0.073771777,0.003396334,0.078124354,0.974250019,0.975499988,0.976999998,0.975583335,0.001376883,0.973818788
536,5,4,tanh,22,3,2,relu,0.4998386,0.34941204,1.135821989,0.6875,0.9375,0.061200976,0.059867971,0.067140535,0.062736494,0.00387181,0.067698418,0.983749986,0.98150003,0.977999985,0.981083333,0.00289756,0.977369961
548,7,4,tanh,23,7,2,tanh,0.49920532,0.34941204,-0.625419548,0.6875,0.1875,0.055940948,0.05296893,0.045332633,0.051414171,0.00547239,0.05842732,0.983250022,0.980499983,0.983250022,0.982333342,0.001587736,0.980298577
549,5,2,tanh,19,3,2,relu,0.25000006,0.108424643,0.134323761,0.5625,0.5625,0.072246693,0.076182,0.064626485,0.071018393,0.005874864,0.078547334,0.976499975,0.976499975,0.977750003,0.976916651,0.000721704,0.97599175
552,4,2,relu,20,3,2,tanh,0.49997586,-0.361303703,-0.094533362,0.3125,0.4375,0.077999458,0.069530375,0.057262037,0.068263957,0.010426553,0.081626123,0.976499975,0.976499975,0.981999993,0.978333314,0.003175437,0.974263828
555,5,4,tanh,38,3,4,relu,0.5,1.109414483,0.665209947,0.9375,0.8125,0.132804185,0.123793334,0.11424315,0.123613556,0.009281823,0.135508692,0.961250007,0.963999987,0.968500018,0.964583337,0.003660039,0.959892808
560,6,4,relu,18,4,4,relu,0.2500015,-0.650932999,1.135821989,0.1875,0.9375,0.153427497,0.12075562,0.139445961,0.137876359,0.016392395,0.158884059,0.958500028,0.963999987,0.961499989,0.961333334,0.002753764,0.957804244
568,7,4,tanh,21,6,2,relu,0.25000328,0.108424643,0.665209947,0.5625,0.8125,0.061323162,0.066731095,0.053880852,0.060645036,0.006451905,0.068913486,0.98150003,0.980499983,0.984000027,0.982000013,0.001802794,0.97968964
583,7,4,relu,19,7,2,relu,0.4998285,-0.361303703,0.665209947,0.3125,0.8125,0.05362004,0.045961134,0.045045346,0.04820884,0.004708554,0.054243095,0.984000027,0.986500025,0.984250009,0.984916687,0.001376896,0.983152124
585,7,4,relu,27,7,4,tanh,0.47191945,-0.650932999,-0.625419548,0.1875,0.1875,0.055411868,0.071814403,0.05492096,0.060715744,0.009614855,0.073037675,0.985000014,0.979749978,0.984000027,0.982916673,0.002787645,0.979344162
596,4,4,relu,19,3,2,tanh,0.49992934,-0.361303703,-1.09603159,0.3125,0.0625,0.07733158,0.076446682,0.079055578,0.07761128,0.001326747,0.079311575,0.976750016,0.976999998,0.976750016,0.976833343,0.000144327,0.976648381
612,4,2,tanh,26,3,2,relu,0.49999666,0.34941204,0.134323761,0.6875,0.5625,0.067229368,0.06693922,0.056047432,0.06340534,0.006373786,0.071573676,0.980250001,0.978250027,0.977999985,0.978833338,0.00123322,0.977252903
620,7,4,relu,26,7,4,relu,0.49982926,-0.650932999,0.665209947,0.1875,0.8125,0.081375182,0.07335078,0.109840117,0.088188693,0.019175137,0.11276262,0.976999998,0.977500021,0.968500018,0.974333346,0.005057993,0.967851267
631,6,2,tanh,60,3,4,relu,0.25000054,1.109414483,0.134323761,0.9375,0.5625,0.069016568,0.08119902,0.064583331,0.07159964,0.008603748,0.082625786,0.981999993,0.975750029,0.981750011,0.979833344,0.003538463,0.975298622
